"order_id","order_date","customer_name","customer_city","product_name","category_name","brand_name","quantity","list_price","discount","store_name","staff_name"
1,"2016-01-01","Johnathan Velazquez","Pleasanton","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",1,599.99,0.20,"Santa Cruz Bikes","Mireya Copeland"
1,"2016-01-01","Johnathan Velazquez","Pleasanton","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Trek",2,1799.99,0.07,"Santa Cruz Bikes","Mireya Copeland"
1,"2016-01-01","Johnathan Velazquez","Pleasanton","Surly Straggler - 2016","Cyclocross Bicycles","Surly",2,1549.00,0.05,"Santa Cruz Bikes","Mireya Copeland"
1,"2016-01-01","Johnathan Velazquez","Pleasanton","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Electra",2,599.99,0.05,"Santa Cruz Bikes","Mireya Copeland"
1,"2016-01-01","Johnathan Velazquez","Pleasanton","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Trek",1,2899.99,0.20,"Santa Cruz Bikes","Mireya Copeland"
2,"2016-01-01","Jaqueline Cummings","Huntington Station","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",1,599.99,0.07,"Baldwin Bikes","Marcelene Boyer"
2,"2016-01-01","Jaqueline Cummings","Huntington Station","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Electra",2,599.99,0.05,"Baldwin Bikes","Marcelene Boyer"
3,"2016-01-02","Joshua Robertson","Patchogue","Surly Wednesday Frameset - 2016","Mountain Bikes","Surly",1,999.99,0.05,"Baldwin Bikes","Venita Daniel"
3,"2016-01-02","Joshua Robertson","Patchogue","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",1,599.99,0.05,"Baldwin Bikes","Venita Daniel"
4,"2016-01-03","Nova Hess","Duarte","Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Ritchey",2,749.99,0.10,"Santa Cruz Bikes","Genna Serrano"
5,"2016-01-03","Arla Ellis","Utica","Surly Straggler - 2016","Cyclocross Bicycles","Surly",2,1549.00,0.05,"Baldwin Bikes","Marcelene Boyer"
5,"2016-01-03","Arla Ellis","Utica","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",1,429.00,0.07,"Baldwin Bikes","Marcelene Boyer"
5,"2016-01-03","Arla Ellis","Utica","Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Electra",1,599.99,0.07,"Baldwin Bikes","Marcelene Boyer"
6,"2016-01-04","Sharyn Hopkins","Baldwinsville","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles",1,449.00,0.07,"Baldwin Bikes","Marcelene Boyer"
6,"2016-01-04","Sharyn Hopkins","Baldwinsville","Electra Townie Original 21D - 2016","Cruisers Bicycles","Electra",2,549.99,0.05,"Baldwin Bikes","Marcelene Boyer"
6,"2016-01-04","Sharyn Hopkins","Baldwinsville","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",1,599.99,0.10,"Baldwin Bikes","Marcelene Boyer"
6,"2016-01-04","Sharyn Hopkins","Baldwinsville","Surly Wednesday Frameset - 2016","Mountain Bikes","Surly",2,999.99,0.07,"Baldwin Bikes","Marcelene Boyer"
6,"2016-01-04","Sharyn Hopkins","Baldwinsville","Trek Conduit+ - 2016","Electric Bikes","Trek",2,2999.99,0.07,"Baldwin Bikes","Marcelene Boyer"
7,"2016-01-04","Laureen Paul","Bellmore","Electra Moto 1 - 2016","Cruisers Bicycles","Electra",1,529.99,0.07,"Baldwin Bikes","Marcelene Boyer"
7,"2016-01-04","Laureen Paul","Bellmore","Surly Wednesday Frameset - 2016","Mountain Bikes","Surly",1,999.99,0.10,"Baldwin Bikes","Marcelene Boyer"
7,"2016-01-04","Laureen Paul","Bellmore","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2,429.00,0.10,"Baldwin Bikes","Marcelene Boyer"
8,"2016-01-04","Leslie Higgins","Saratoga Springs","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Electra",1,269.99,0.05,"Baldwin Bikes","Venita Daniel"
8,"2016-01-04","Leslie Higgins","Saratoga Springs","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",2,599.99,0.07,"Baldwin Bikes","Venita Daniel"
9,"2016-01-05","Neil Mccall","San Carlos","Trek Slash 8 27.5 - 2016","Mountain Bikes","Trek",2,3999.99,0.10,"Santa Cruz Bikes","Mireya Copeland"
10,"2016-01-05","Alane Munoz","Yonkers","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Electra",1,269.99,0.10,"Baldwin Bikes","Marcelene Boyer"
11,"2016-01-05","Tarra Guerrero","Auburn","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Trek",1,1799.99,0.05,"Baldwin Bikes","Venita Daniel"
11,"2016-01-05","Tarra Guerrero","Auburn","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Electra",2,269.99,0.10,"Baldwin Bikes","Venita Daniel"
11,"2016-01-05","Tarra Guerrero","Auburn","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Electra",2,599.99,0.20,"Baldwin Bikes","Venita Daniel"
12,"2016-01-06","Marvin Mullins","San Diego","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Trek",2,2899.99,0.10,"Santa Cruz Bikes","Mireya Copeland"
12,"2016-01-06","Marvin Mullins","San Diego","Surly Straggler 650b - 2016","Cyclocross Bicycles","Surly",1,1680.99,0.05,"Santa Cruz Bikes","Mireya Copeland"
13,"2016-01-08","Patience Clayton","Niagara Falls","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Electra",1,269.99,0.10,"Baldwin Bikes","Marcelene Boyer"
13,"2016-01-08","Patience Clayton","Niagara Falls","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2,429.00,0.05,"Baldwin Bikes","Marcelene Boyer"
13,"2016-01-08","Patience Clayton","Niagara Falls","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Electra",2,599.99,0.10,"Baldwin Bikes","Marcelene Boyer"
13,"2016-01-08","Patience Clayton","Niagara Falls","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Electra",2,599.99,0.05,"Baldwin Bikes","Marcelene Boyer"
14,"2016-01-09","Maribel William","Torrance","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Surly",1,469.99,0.07,"Santa Cruz Bikes","Genna Serrano"
15,"2016-01-09","Ellsworth Michael","Carmel","Electra Townie Original 21D - 2016","Cruisers Bicycles","Electra",2,549.99,0.07,"Baldwin Bikes","Venita Daniel"
15,"2016-01-09","Ellsworth Michael","Carmel","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Trek",1,1799.99,0.07,"Baldwin Bikes","Venita Daniel"
15,"2016-01-09","Ellsworth Michael","Carmel","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles",2,449.00,0.05,"Baldwin Bikes","Venita Daniel"
