order_id,order_date,customer_name,customer_city,product_name,category_name,brand_name,quantity,list_price,discount,store_name,staff_name,final_revenue,order_year,order_month
1,2016-01-01,Johnathan Velazquez,Pleasanton,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.2,Santa Cruz Bikes,Mireya Copeland,479.992,2016,1
1,2016-01-01,Johnathan Velazquez,Pleasanton,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,Santa Cruz Bikes,Mireya Copeland,3347.9813999999997,2016,1
1,2016-01-01,Johnathan Velazquez,Pleasanton,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.05,Santa Cruz Bikes,Mireya Copeland,2943.1,2016,1
1,2016-01-01,Johnathan Velazquez,Pleasanton,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,Santa Cruz Bikes,Mireya Copeland,1139.981,2016,1
1,2016-01-01,Johnathan Velazquez,Pleasanton,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.2,Santa Cruz Bikes,Mireya Copeland,2319.9919999999997,2016,1
2,2016-01-01,Jaqueline Cummings,Huntington Station,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.07,Baldwin Bikes,Marcelene Boyer,557.9907,2016,1
2,2016-01-01,Jaqueline Cummings,Huntington Station,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,Baldwin Bikes,Marcelene Boyer,1139.981,2016,1
3,2016-01-02,Joshua Robertson,Patchogue,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.05,Baldwin Bikes,Venita Daniel,949.9905,2016,1
3,2016-01-02,Joshua Robertson,Patchogue,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,Baldwin Bikes,Venita Daniel,569.9905,2016,1
4,2016-01-03,Nova Hess,Duarte,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.1,Santa Cruz Bikes,Genna Serrano,1349.982,2016,1
5,2016-01-03,Arla Ellis,Utica,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.05,Baldwin Bikes,Marcelene Boyer,2943.1,2016,1
5,2016-01-03,Arla Ellis,Utica,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429.0,0.07,Baldwin Bikes,Marcelene Boyer,398.96999999999997,2016,1
5,2016-01-03,Arla Ellis,Utica,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.07,Baldwin Bikes,Marcelene Boyer,557.9907,2016,1
6,2016-01-04,Sharyn Hopkins,Baldwinsville,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449.0,0.07,Baldwin Bikes,Marcelene Boyer,417.57,2016,1
6,2016-01-04,Sharyn Hopkins,Baldwinsville,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.05,Baldwin Bikes,Marcelene Boyer,1044.981,2016,1
6,2016-01-04,Sharyn Hopkins,Baldwinsville,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.1,Baldwin Bikes,Marcelene Boyer,539.991,2016,1
6,2016-01-04,Sharyn Hopkins,Baldwinsville,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.07,Baldwin Bikes,Marcelene Boyer,1859.9814,2016,1
